unit_name,asa,background,fur,skin,eyes,posture,clothing,hats,item,accessories,rarity_score,rank,name
AGA87,379124416,Orange and Green,Blue,Blue,Blue,"Arm up, smiling",,Silver Dreads,Gold Bar,White Shudder Shades,281.0339605441842,25,AlgorillaArmy#87
AGA405,437840166,Sky Blue and White,Blue Zebra,Purple,Pink,Arm down,Yellow Tanktop,Light Blue Backwards Cap,,Yellow Lasers,280.7187183383992,26,AlgorillaArmy#405
AGA240,409070304,Purple and Light Green,Blue Zebra,Silver,Green,Arm down,Light Blue Tanktop,Gold Tophat,,Blue Shutter Shades,276.2470119677109,27,AlgorillaArmy#240
AGA308,426025539,Light Blue and Deep Blue,Blue Zebra,Red,Yellow,Arm down,Black Sports Bra,Bright Red Beanie Hat,,Morpheus Glasses,275.70049811948803,28,AlgorillaArmy#308
AGA157,384704044,Purple and Light Green,Silver,Green,Yellow,"Arm up, smiling",Suit Purple Tie,Gold Dreads,Claymore,Morpheus Glasses,274.64605022932454,29,AlgorillaArmy#157
AGA551,545075221,Brown and Gold Radial,Normal,Blue,Normal,Arm up,Pink Sports Bra,Rainbow Afro,Red Selfiestick,Gold Algo Necklace,274.49021582109987,30,AlgorillaArmy#551
AGA103,380017016,Brown and Gold Radial,Purple,Green,Blue,"Arm up, smiling",Suit Red Tie,Brown Tophat,Red Cocktail,Red Clown Nose,272.9658054758861,31,AlgorillaArmy#103
AGA504,545069493,Grey and Silver Radial,Red Zebra,Blue,Black,Arm down,Black Vneck,Light Blue Backwards Cap,,,272.1066907899024,32,AlgorillaArmy#504
AGA104,380018088,Bright Pink and Purple,Red,Yellow,Red,Arm down,Orange Sports Bra,Robot Head,,,272.04665804013507,33,AlgorillaArmy#104
AGA764,545145129,Light Pink and Red,Normal,Silver,Normal,Arm up,Orange Sports Bra,Normal Dreads,Yellow Cocktail,Yellow Lasers,271.8819487331616,34,AlgorillaArmy#764
AGA412,545027515,Bright Pink and Purple,Normal,Pink,Silver,Arm up,Pink Sports Bra,Blue Dreads,Plunger,Anderson Glasses,271.3694078660589,35,AlgorillaArmy#412
AGA197,384767240,White and Orange,Blue Lava,Purple,Purple,Arm down,,Silver Crown,,Black Eyepatch,270.9998992608075,36,AlgorillaArmy#197
AGA809,545150349,Bright Pink and Purple,Yellow,Normal,Pink,Arm up,Yellow Tanktop,Silver Crown,Spear,Green Lasers,268.78026550315707,37,AlgorillaArmy#809
